Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate
0,Defector,3.04,0.0,23.0,0.0,0.0,0.0,0.5099999999999999,0.49000000000000016
1,Dual Joss-Ann Tit For Tat,3.0,0.0,15.0,0.0,0.0,0.0,0.4999999999999999,0.5000000000000001
2,Dual Joss-Ann Tit For Tat,2.99888888889,0.11083333333333334,15.0,0.0,0.04472222222222222,0.0661111111111111,0.49388888888888893,0.3952777777777778
3,Defector,2.9888,0.0,21.0,0.0,0.0,0.0,0.49719999999999986,0.5028000000000001
4,Dual Joss-Ann Tit For Tat,2.98777777778,0.21083333333333334,15.0,0.0,0.08805555555555554,0.12277777777777778,0.4836111111111111,0.3055555555555556
5,Defector,2.9808,0.0,23.0,0.0,0.0,0.0,0.49519999999999986,0.5048
6,Dual Joss-Ann Tit For Tat,2.9275,0.3,14.0,0.0,0.13805555555555554,0.16194444444444442,0.45333333333333337,0.24666666666666665
7,Dual Joss-Ann Tit For Tat,2.66055555556,0.23583333333333334,14.0,0.4444444444444444,0.11361111111111111,0.1222222222222222,0.3888888888888889,0.3752777777777778
8,Joss-Ann Tit For Tat,2.6475,0.11805555555555555,15.0,0.1111111111111111,0.06888888888888889,0.04916666666666667,0.38972222222222225,0.49222222222222217
9,Dual Joss-Ann Tit For Tat,2.50166666667,0.36944444444444446,14.0,0.3333333333333333,0.1844444444444444,0.18500000000000003,0.3294444444444444,0.3011111111111111
10,Joss-Ann Tit For Tat,2.45583333333,0.6683333333333333,0.0,1.0,0.5425,0.12583333333333335,0.12416666666666666,0.2075
11,Win-Stay Lose-Shift,2.3932,0.544,8.0,1.0,0.32599999999999996,0.21799999999999997,0.2398,0.2162
12,Dual Joss-Ann Tit For Tat,2.3775,0.47,9.0,0.0,0.2625,0.20750000000000002,0.26499999999999996,0.26499999999999996
13,Win-Stay Lose-Shift,2.3658,0.555,8.0,1.0,0.33599999999999997,0.21900000000000003,0.22820000000000001,0.21680000000000002
14,Joss-Ann Tit For Tat,2.35444444444,0.22611111111111112,15.0,0.5555555555555556,0.12499999999999997,0.10111111111111111,0.30138888888888893,0.47250000000000003
